"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AtlQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","A","20110101","2011","52","2011","276","DEU","Germany","X","Export","0","W00","World","0","W00","World","H3","HS","true","010594","Poultry; live, fowls of the species Gallus domesticus, weighing more than 185g","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","5","u","203056490","false","5","u","203056490","false","460376797","false",,"false",,"548679715.925","548679715.925","0","false","true",
"C","A","20110101","2011","52","2011","276","DEU","Germany","M","Import","0","W00","World","0","W00","World","H3","HS","true","010599","Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","5","u","6612110","false","5","u","6612110","false","94745019","false",,"false","173698361.212",,"173698361.212","0","false","true",
"C","A","20110101","2011","52","2011","276","DEU","Germany","X","Export","0","W00","World","0","W00","World","H3","HS","true","010599","Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","5","u","1590657","false","5","u","1590657","false","4410727","false",,"false",,"9066937.944","9066937.944","0","false","true",
"C","A","20110101","2011","52","2011","276","DEU","Germany","M","Import","0","W00","World","0","W00","World","H3","HS","true","010611","Mammals; live, primates","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","5","u","244","false","5","u","244","false","447","false",,"false","205191.869",,"205191.869","0","false","true",
"C","A","20110101","2011","52","2011","276","DEU","Germany","X","Export","0","W00","World","0","W00","World","H3","HS","true","010611","Mammals; live, primates","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","5","u","21","false","5","u","21","false","631","false",,"false",,"3618.522","3618.522","0","false","true",
"C","A","20110101","2011","52","2011","276","DEU","Germany","M","Import","0","W00","World","0","W00","World","H3","HS","true","010619","Mammals; live, other than primates, whales, dolphins and porpoises (order Cetacea), manatees and dugongs (order Sirenia)","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","98488.697","true",,"false","26446947.21",,"26446947.21","0","false","true",
"C","A","20110101","2011","52","2011","276","DEU","Germany","X","Export","0","W00","World","0","W00","World","H3","HS","true","010619","Mammals; live, other than primates, whales, dolphins and porpoises (order Cetacea), manatees and dugongs (order Sirenia)","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","247548.015","true",,"false",,"22890970.886","22890970.886","0","false","true",
"C","A","20110101","2011","52","2011","276","DEU","Germany","M","Import","0","W00","World","0","W00","World","H3","HS","true","010620","Reptiles; live (including snakes and turtles)","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","5","u","534473","false","5","u","534473","false","13216.709","true",,"false","2616358.131",,"2616358.131","0","false","true",
"C","A","20110101","2011","52","2011","276","DEU","Germany","X","Export","0","W00","World","0","W00","World","H3","HS","true","010620","Reptiles; live (including snakes and turtles)","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","5","u","222316","false","5","u","222316","false","6848.016","true",,"false",,"1494314.425","1494314.425","0","false","true",
"C","A","20110101","2011","52","2011","276","DEU","Germany","M","Import","0","W00","World","0","W00","World","H3","HS","true","010631","Animals; live, birds of prey","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","5","u","34","false","5","u","34","false","133","false",,"false","68752.673",,"68752.673","0","false","true",
