"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AtlQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","A","20110101","2011","52","2011","392","JPN","Japan","M","Import","0","W00","World","0","W00","World","H3","HS","true","283230","Thiosulphates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3132832","false","-1","N/A",,"false","3132832","false",,"false","1189638",,"1189638","0","true","false",
"C","A","20110101","2011","52","2011","392","JPN","Japan","M","Import","0","W00","World","0","W00","World","H3","HS","true","283311","Sodium sulphates; disodium sulphate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","92887191","false","-1","N/A",,"false","92887191","false",,"false","19057108",,"19057108","0","true","false",
"C","A","20110101","2011","52","2011","392","JPN","Japan","M","Import","0","W00","World","0","W00","World","H3","HS","true","283319","Sodium sulphates; other than disodium sulphate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3299975","false","-1","N/A",,"false","3299975","false",,"false","1390048",,"1390048","0","true","false",
"C","A","20110101","2011","52","2011","392","JPN","Japan","M","Import","0","W00","World","0","W00","World","H3","HS","true","283321","Sulphates; of magnesium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","7234715","false","-1","N/A",,"false","7234715","false",,"false","2237200",,"2237200","0","true","false",
"C","A","20110101","2011","52","2011","392","JPN","Japan","M","Import","0","W00","World","0","W00","World","H3","HS","true","283322","Sulphates; of aluminium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","217385","false","-1","N/A",,"false","217385","false",,"false","78968",,"78968","0","true","false",
"C","A","20110101","2011","52","2011","392","JPN","Japan","M","Import","0","W00","World","0","W00","World","H3","HS","true","283324","Sulphates; of nickel","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","11632466","false","-1","N/A",,"false","11632466","false",,"false","66045386",,"66045386","0","true","false",
"C","A","20110101","2011","52","2011","392","JPN","Japan","M","Import","0","W00","World","0","W00","World","H3","HS","true","283325","Sulphates; of copper","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4585454","false","-1","N/A",,"false","4585454","false",,"false","14154021",,"14154021","0","true","false",
"C","A","20110101","2011","52","2011","392","JPN","Japan","M","Import","0","W00","World","0","W00","World","H3","HS","true","283327","Sulphates; of barium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","13783333","false","-1","N/A",,"false","13783333","false",,"false","15112028",,"15112028","0","true","false",
"C","A","20110101","2011","52","2011","392","JPN","Japan","M","Import","0","W00","World","0","W00","World","H3","HS","true","283329","Sulphates; n.e.c. in item no. 2833.2","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","99449041","false","-1","N/A",,"false","99449041","false",,"false","42298512",,"42298512","0","true","false",
"C","A","20110101","2011","52","2011","392","JPN","Japan","M","Import","0","W00","World","0","W00","World","H3","HS","true","283330","Alums","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1147575","false","-1","N/A",,"false","1147575","false",,"false","2958892",,"2958892","0","true","false",
"C","A","20110101","2011","52","2011","392","JPN","Japan","M","Import","0","W00","World","0","W00","World","H3","HS","true","283340","Peroxosulphates (persulphates)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3223754","false","-1","N/A",,"false","3223754","false",,"false","5205071",,"5205071","0","true","false",
"C","A","20110101","2011","52","2011","392","JPN","Japan","M","Import","0","W00","World","0","W00","World","H3","HS","true","283410","Nitrites","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6118543","false","-1","N/A",,"false","6118543","false",,"false","4374320",,"4374320","0","true","false",
"C","A","20110101","2011","52","2011","392","JPN","Japan","M","Import","0","W00","World","0","W00","World","H3","HS","true","283421","Nitrates; of potassium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","7462700","false","-1","N/A",,"false","7462700","false",,"false","8785537",,"8785537","0","true","false",
"C","A","20110101","2011","52","2011","392","JPN","Japan","M","Import","0","W00","World","0","W00","World","H3","HS","true","283429","Nitrates; of other than potassium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","33218612","false","-1","N/A",,"false","33218612","false",,"false","38433430",,"38433430","0","true","false",
"C","A","20110101","2011","52","2011","392","JPN","Japan","M","Import","0","W00","World","0","W00","World","H3","HS","true","283510","Phosphinates (hypophosphites) and phosphonates (phosphites)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5208625","false","-1","N/A",,"false","5208625","false",,"false","13947595",,"13947595","0","true","false",
"C","A","20110101","2011","52","2011","392","JPN","Japan","M","Import","0","W00","World","0","W00","World","H3","HS","true","283522","Phosphates; of mono- or disodium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","582294","false","-1","N/A",,"false","582294","false",,"false","1089709",,"1089709","0","true","false",
"C","A","20110101","2011","52","2011","392","JPN","Japan","M","Import","0","W00","World","0","W00","World","H3","HS","true","283524","Phosphates; of potassium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2477525","false","-1","N/A",,"false","2477525","false",,"false","4296746",,"4296746","0","true","false",
"C","A","20110101","2011","52","2011","392","JPN","Japan","M","Import","0","W00","World","0","W00","World","H3","HS","true","283525","Phosphates; calcium hydrogenorthophosphate (dicalcium phosphate)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","29944016","false","-1","N/A",,"false","29944016","false",,"false","18353010",,"18353010","0","true","false",
"C","A","20110101","2011","52","2011","392","JPN","Japan","M","Import","0","W00","World","0","W00","World","H3","HS","true","283526","Phosphates; of calcium n.e.c. in item no. 2835.25","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","23761389","false","-1","N/A",,"false","23761389","false",,"false","12477198",,"12477198","0","true","false",
"C","A","20110101","2011","52","2011","392","JPN","Japan","M","Import","0","W00","World","0","W00","World","H3","HS","true","283529","Phosphates; (other than of mono- or disodium, other than of potassium or of calcium hydrogenorthophosphate (dicalcium phosphate) and excluding other phosphates of calcium)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1109270","false","-1","N/A",,"false","1109270","false",,"false","3255337",,"3255337","0","true","false",
"C","A","20110101","2011","52","2011","392","JPN","Japan","M","Import","0","W00","World","0","W00","World","H3","HS","true","283531","Polyphosphates; sodium triphosphate (sodium tripolyphosphate)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","7174247","false","-1","N/A",,"false","7174247","false",,"false","10579118",,"10579118","0","true","false",
"C","A","20110101","2011","52","2011","392","JPN","Japan","M","Import","0","W00","World","0","W00","World","H3","HS","true","283539","Polyphosphates; other than sodium triphosphate (sodium tripolyphosphate)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4957714","false","-1","N/A",,"false","4957714","false",,"false","13668091",,"13668091","0","true","false",
"C","A","20110101","2011","52","2011","392","JPN","Japan","M","Import","0","W00","World","0","W00","World","H3","HS","true","283620","Carbonates; disodium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","353700705","false","-1","N/A",,"false","353700705","false",,"false","89790817",,"89790817","0","true","false",
"C","A","20110101","2011","52","2011","392","JPN","Japan","M","Import","0","W00","World","0","W00","World","H3","HS","true","283630","Carbonates; sodium hydrogencarbonate (sodium bicarbonate)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","38265441","false","-1","N/A",,"false","38265441","false",,"false","17098508",,"17098508","0","true","false",
"C","A","20110101","2011","52","2011","392","JPN","Japan","M","Import","0","W00","World","0","W00","World","H3","HS","true","283640","Carbonates; potassium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","9492132","false","-1","N/A",,"false","9492132","false",,"false","12326206",,"12326206","0","true","false",
"C","A","20110101","2011","52","2011","392","JPN","Japan","M","Import","0","W00","World","0","W00","World","H3","HS","true","283650","Carbonates; calcium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2142311","false","-1","N/A",,"false","2142311","false",,"false","1301321",,"1301321","0","true","false",
"C","A","20110101","2011","52","2011","392","JPN","Japan","M","Import","0","W00","World","0","W00","World","H3","HS","true","283660","Carbonates; barium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","21726748","false","-1","N/A",,"false","21726748","false",,"false","25360239",,"25360239","0","true","false",
"C","A","20110101","2011","52","2011","392","JPN","Japan","M","Import","0","W00","World","0","W00","World","H3","HS","true","283691","Carbonates; lithium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","15089488","false","-1","N/A",,"false","15089488","false",,"false","80810031",,"80810031","0","true","false",
"C","A","20110101","2011","52","2011","392","JPN","Japan","M","Import","0","W00","World","0","W00","World","H3","HS","true","283692","Carbonates; strontium carbonate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","31585573","false","-1","N/A",,"false","31585573","false",,"false","23994166",,"23994166","0","true","false",
"C","A","20110101","2011","52","2011","392","JPN","Japan","M","Import","0","W00","World","0","W00","World","H3","HS","true","283699","Carbonates; n.e.c. in heading no. 2836 and other than lithium or strontium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","7365840","false","-1","N/A",,"false","7365840","false",,"false","17606879",,"17606879","0","true","false",
"C","A","20110101","2011","52","2011","392","JPN","Japan","M","Import","0","W00","World","0","W00","World","H3","HS","true","293020","Organo-sulphur compounds; thiocarbamates and dithiocarbamates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1853393","false","-1","N/A",,"false","1853393","false",,"false","10324065",,"10324065","0","true","false",
