"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AtlQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","A","20110101","2011","52","2011","842","USA","USA","X","Export","0","W00","World","0","W00","World","H3","HS","true","010612","Mammals; live, whales, dolphins and porpoises ( mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1","false","-1","N/A",,"false",,"false",,"false",,"8774","8774","0","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","M","Import","0","W00","World","0","W00","World","H3","HS","true","010612","Mammals; live, whales, dolphins and porpoises ( mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","867","false","-1","N/A",,"false",,"false",,"false","21328",,"21328","0","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","X","Export","0","W00","World","0","W00","World","H3","HS","true","010611","Mammals; live, primates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1640","false","-1","N/A",,"false",,"false",,"false",,"7361166","7361166","0","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","M","Import","0","W00","World","0","W00","World","H3","HS","true","010611","Mammals; live, primates","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","18352","false","-1","N/A",,"false",,"false",,"false","47591925",,"47591925","0","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","X","Export","0","W00","World","0","W00","World","H3","HS","true","010599","Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","381761","false","-1","N/A",,"false","363840","true",,"false",,"562782","562782","4","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","M","Import","0","W00","World","0","W00","World","H3","HS","true","010599","Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","887188","false","-1","N/A",,"false","4438273","false",,"false","7767498",,"7767498","0","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","X","Export","0","W00","World","0","W00","World","H3","HS","true","010594","Poultry; live, fowls of the species Gallus domesticus, weighing more than 185g","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1043875","false","-1","N/A",,"false",,"false",,"false",,"1670129","1670129","0","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","M","Import","0","W00","World","0","W00","World","H3","HS","true","010594","Poultry; live, fowls of the species Gallus domesticus, weighing more than 185g","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","43182","false","-1","N/A",,"false","21920","false",,"false","267379",,"267379","0","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","X","Export","0","W00","World","0","W00","World","H3","HS","true","010519","Poultry; live, weighing not more than 185g, ducks, geese and guinea fowls","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","898231","false","-1","N/A",,"false",,"false",,"false",,"1375767","1375767","0","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","M","Import","0","W00","World","0","W00","World","H3","HS","true","010519","Poultry; live, weighing not more than 185g, ducks, geese and guinea fowls","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","81584","false","-1","N/A",,"false",,"false",,"false","268088",,"268088","0","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","X","Export","0","W00","World","0","W00","World","H3","HS","true","010512","Poultry; live, weighing not more than 185g, turkeys","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","7239912","false","-1","N/A",,"false",,"false",,"false",,"7237827","7237827","0","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","M","Import","0","W00","World","0","W00","World","H3","HS","true","010512","Poultry; live, weighing not more than 185g, turkeys","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","6851318","false","-1","N/A",,"false",,"false",,"false","15198023",,"15198023","0","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","X","Export","0","W00","World","0","W00","World","H3","HS","true","010511","Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","79281865","false","-1","N/A",,"false",,"false",,"false",,"185138497","185138497","0","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","M","Import","0","W00","World","0","W00","World","H3","HS","true","010511","Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","5976978","false","-1","N/A",,"false","185186","true",,"false","11929318",,"11929318","4","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","X","Export","0","W00","World","0","W00","World","H3","HS","true","010420","Goats; live","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","4763","false","-1","N/A",,"false",,"false",,"false",,"420526","420526","0","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","X","Export","0","W00","World","0","W00","World","H3","HS","true","010410","Sheep; live","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","78662","false","-1","N/A",,"false","1887475","true",,"false",,"4474204","4474204","4","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","M","Import","0","W00","World","0","W00","World","H3","HS","true","010410","Sheep; live","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","9008","false","-1","N/A",,"false","470463","false",,"false","1183575",,"1183575","0","true","false",
"C","A","20110101","2011","52","2011","842","USA","USA","X","Export","0","W00","World","0","W00","World","H3","HS","true","010392","Swine; live, (other than pure-bred breeding animals), weighing 50kg or more","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","4709","false","-1","N/A",,"false","2166525","true",,"false",,"3345045","3345045","4","true","false",
